,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,opinion
21,6.9,0.24,0.35,0.0,-2.9565115604007097,35.0,146.0,0.993,3.45,0.44,2.302585092994046,1
22,7.0,0.28,0.39,2.163323025660538,-2.9759296462578115,32.0,141.0,0.9961,3.38,0.53,2.3513752571634776,1
23,7.4,0.27,0.48,0.09531017980432493,-3.0576076772720784,17.0,132.0,0.9914,3.19,0.49,2.451005098112319,1
24,7.2,0.32,0.36,0.6931471805599453,-3.4112477175156566,37.0,114.0,0.9906,3.1,0.71,2.509599262378372,1
25,8.5,0.24,0.39,2.341805806147327,-3.123565645063876,20.0,142.0,0.9974,3.2,0.53,2.302585092994046,1
26,8.3,0.14,0.34,0.09531017980432493,-3.170085660698769,7.0,47.0,0.9934,3.47,0.4,2.322387720290225,1
27,7.4,0.25,0.36,0.7178397931503168,-2.995732273553991,31.0,100.0,0.992,3.19,0.44,2.379546134130174,1
28,5.8,0.27,0.2,2.7047112998366956,-3.123565645063876,22.0,179.0,0.9962,3.37,0.37,2.322387720290225,0
29,7.3,0.28,0.43,0.5306282510621704,-2.5257286443082556,21.0,123.0,0.9905,3.19,0.42,2.5494451709255714,0
30,6.5,0.39,0.23,1.6863989535702288,-2.9759296462578115,25.0,149.0,0.9934,3.24,0.35,2.302585092994046,0
31,7.0,0.33,0.32,0.1823215567939546,-2.9374633654300153,38.0,138.0,0.9906,3.13,0.28,2.4159137783010487,1
32,7.3,0.24,0.39,2.8875901149342877,-2.864704011147587,45.0,149.0,0.9999,3.21,0.36,2.151762203259462,0
33,6.7,0.23,0.39,0.9162907318741551,-1.760260802168684,63.0,158.0,0.9937,3.11,0.36,2.2407096892759584,1
34,6.7,0.24,0.39,1.0647107369924282,-1.7544636844843582,63.0,157.0,0.9937,3.1,0.34,2.2407096892759584,1
35,7.0,0.31,0.26,2.0014800002101243,-2.6736487743848776,28.0,160.0,0.9954,3.13,0.46,2.2823823856765264,1
36,6.6,0.24,0.27,0.3364722366212129,-2.864704011147587,33.0,152.0,0.9934,3.22,0.56,2.2512917986064953,1
37,6.7,0.23,0.26,0.3364722366212129,-2.8134107167600364,33.0,154.0,0.9934,3.24,0.56,2.2512917986064953,1
38,7.4,0.18,0.31,0.3364722366212129,-2.8473122684357177,38.0,167.0,0.9931,3.16,0.53,2.302585092994046,1
39,6.2,0.45,0.26,1.4816045409242156,-2.7646205525906042,63.0,206.0,0.994,3.27,0.52,2.2823823856765264,0
40,6.2,0.46,0.25,1.4816045409242156,-2.7181005369557116,62.0,207.0,0.9939,3.25,0.52,2.2823823856765264,0
41,6.9,0.19,0.35,1.6094379124341003,-2.703062659591171,32.0,150.0,0.995,3.36,0.48,2.2823823856765264,0
42,7.2,0.19,0.31,0.47000362924573563,-2.7806208939370456,31.0,173.0,0.9917,3.35,0.44,2.4595888418037104,1
43,6.6,0.25,0.29,0.09531017980432493,-2.6882475738060303,39.0,124.0,0.9914,3.34,0.58,2.3978952727983707,1
44,6.2,0.16,0.33,0.09531017980432493,-2.864704011147587,21.0,82.0,0.991,3.32,0.46,2.388762789235098,1
45,6.4,0.18,0.35,0.0,-3.101092789211817,39.0,108.0,0.9911,3.31,0.35,2.388762789235098,1
46,6.9,0.25,0.35,0.26236426446749106,-3.2441936328524905,29.0,191.0,0.9908,3.13,0.52,2.3978952727983707,1
47,7.2,0.21,0.34,2.4765384001174837,-3.146555163288575,37.0,213.0,0.9962,3.09,0.5,2.2617630984737906,1
48,6.0,0.19,0.26,2.517696472610991,-3.036554268074246,50.0,147.0,0.9972,3.3,0.36,2.186051276738094,1
49,6.6,0.38,0.15,1.5260563034950492,-3.123565645063876,25.0,78.0,0.9931,3.11,0.38,2.322387720290225,1
50,7.4,0.2,0.36,0.1823215567939546,-3.270169119255751,44.0,111.0,0.9926,3.36,0.34,2.2925347571405443,1
51,6.8,0.22,0.24,1.589235205116581,-2.385966701933097,30.0,123.0,0.9951,3.03,0.46,2.151762203259462,1
52,7.0,0.47,0.07,0.09531017980432493,-3.3524072174927233,17.0,151.0,0.991,3.02,0.34,2.3513752571634776,0
53,7.2,0.24,0.27,0.3364722366212129,-3.270169119255751,31.0,122.0,0.9927,3.15,0.46,2.33214389523559,1
54,6.2,0.35,0.03,0.1823215567939546,-2.7488721956224653,29.0,120.0,0.9934,3.22,0.54,2.2082744135228043,0
55,6.4,0.26,0.24,1.8562979903656263,-3.2188758248682006,27.0,124.0,0.9903,3.22,0.49,2.533696813957432,1
56,6.7,0.25,0.13,0.1823215567939546,-3.1941832122778293,81.0,174.0,0.992,3.14,0.42,2.2823823856765264,0
57,6.7,0.23,0.31,0.7419373447293773,-3.079113882493042,30.0,96.0,0.9926,3.33,0.64,2.3702437414678603,1
58,7.4,0.24,0.29,2.312535423847214,-2.995732273553991,21.0,105.0,0.9962,3.13,0.35,2.2512917986064953,0
59,6.2,0.27,0.43,2.0541237336955462,-2.8824035882469876,48.0,244.0,0.9956,3.1,0.51,2.1972245773362196,1
60,6.8,0.3,0.23,1.5260563034950492,-2.796881414808826,50.5,238.5,0.9958,3.32,0.6,2.2512917986064953,0
61,6.0,0.27,0.28,1.5686159179138452,-2.7646205525906042,31.0,201.0,0.9964,3.69,0.71,2.302585092994046,0
62,8.6,0.23,0.46,0.0,-2.9187712324178627,9.0,72.0,0.9941,2.95,0.49,2.2082744135228043,1
63,7.1,0.18,0.36,0.3364722366212129,-3.146555163288575,31.0,87.0,0.9898,3.26,0.37,2.5416019934645457,1
64,7.0,0.32,0.34,0.26236426446749106,-3.170085660698769,20.0,69.0,0.9912,3.31,0.65,2.4849066497880004,1
65,7.4,0.18,0.3,2.174751721484161,-2.7488721956224653,26.0,103.0,0.9961,2.94,0.56,2.2300144001592104,0
66,6.7,0.54,0.28,1.6863989535702288,-2.8134107167600364,21.0,105.0,0.9949,3.27,0.37,2.1972245773362196,0
67,6.8,0.22,0.31,0.3364722366212129,-2.9374633654300153,34.0,114.0,0.9929,3.39,0.77,2.3608540011180215,1
68,7.1,0.2,0.34,2.772588722239781,-2.995732273553991,51.0,166.0,0.9985,3.21,0.6,2.2192034840549946,1
69,7.1,0.34,0.2,1.8082887711792655,-2.7646205525906042,47.0,164.0,0.9946,3.17,0.42,2.302585092994046,0
70,7.3,0.22,0.3,2.1041341542702074,-3.0576076772720784,42.0,207.0,0.9966,3.33,0.46,2.2512917986064953,1
71,7.1,0.43,0.61,2.468099531471619,-3.101092789211817,54.0,155.0,0.9974,3.11,0.45,2.163323025660538,0
72,7.1,0.44,0.62,2.468099531471619,-3.123565645063876,52.0,152.0,0.9975,3.12,0.46,2.163323025660538,1
73,6.8,0.25,0.31,2.5877640352277083,-2.995732273553991,69.0,202.0,0.9972,3.22,0.48,2.272125885509337,1
74,7.2,0.39,0.63,2.3978952727983707,-3.123565645063876,55.0,156.0,0.9974,3.09,0.44,2.163323025660538,1
75,6.1,0.27,0.43,2.0149030205422647,-3.0159349808715104,65.0,243.0,0.9957,3.12,0.47,2.1972245773362196,0
76,6.9,0.24,0.33,0.5306282510621704,-3.3524072174927233,47.0,136.0,0.99,3.26,0.4,2.533696813957432,1
77,6.9,0.21,0.33,0.5877866649021191,-3.3813947543659757,48.0,136.0,0.9899,3.25,0.41,2.533696813957432,1
78,7.5,0.17,0.32,0.5306282510621704,-3.2188758248682006,51.0,148.0,0.9916,3.21,0.44,2.4423470353692043,1
79,7.1,0.26,0.29,2.517696472610991,-3.123565645063876,62.0,240.0,0.9969,3.04,0.42,2.2192034840549946,1
80,6.0,0.34,0.66,2.766319109226186,-3.079113882493042,26.0,164.0,0.9979,3.14,0.5,2.174751721484161,1
81,8.6,0.265,0.36,0.1823215567939546,-3.3813947543659757,15.0,80.0,0.9913,2.95,0.36,2.4336133554004498,1
82,7.4,0.25,0.37,2.6026896854443837,-2.8134107167600364,52.0,192.0,0.9975,3.0,0.44,2.2082744135228043,0
83,7.1,0.12,0.32,2.2617630984737906,-2.9187712324178627,64.0,162.0,0.9962,3.4,0.41,2.2407096892759584,0
84,6.0,0.21,0.24,2.4932054526026954,-2.995732273553991,55.0,164.0,0.997,3.34,0.39,2.2407096892759584,0
85,7.5,0.305,0.4,2.9391619220655967,-2.8302178350764176,44.0,170.0,1.0,2.99,0.46,2.1972245773362196,0
86,7.3,0.13,0.32,2.667228206581955,-2.9759296462578115,34.0,109.0,0.9974,3.2,0.35,2.2192034840549946,1
87,7.1,0.23,0.35,2.803360380906535,-3.2188758248682006,60.0,171.0,0.999,3.16,0.59,2.2082744135228043,1
88,6.9,0.33,0.28,0.26236426446749106,-2.9759296462578115,37.0,187.0,0.9927,3.27,0.6,2.33214389523559,0
89,6.5,0.17,0.54,2.1400661634962708,-2.501036031717884,64.0,163.0,0.9959,2.89,0.39,2.174751721484161,1
90,7.2,0.27,0.46,2.9311937524164198,-2.9565115604007097,45.0,255.0,1.0,3.04,0.52,2.186051276738094,0
91,7.2,0.31,0.5,2.5877640352277083,-2.8824035882469876,68.0,195.0,0.9982,3.01,0.47,2.2192034840549946,0
92,6.7,0.41,0.34,2.2192034840549946,-3.0159349808715104,29.0,150.0,0.9968,3.22,0.51,2.2082744135228043,0
93,5.5,0.485,0.0,0.4054651081081644,-2.7333680090865,8.0,103.0,0.994,3.63,0.4,2.272125885509337,0
94,6.0,0.31,0.24,1.1939224684724346,-3.1941832122778293,25.0,143.0,0.9914,3.31,0.44,2.424802725718295,1
95,7.0,0.14,0.4,0.5306282510621704,-3.3524072174927233,16.0,85.0,0.9911,3.19,0.42,2.468099531471619,1
96,7.3,0.32,0.48,2.5877640352277083,-2.8134107167600364,57.0,196.0,0.9982,3.04,0.5,2.2192034840549946,0
97,5.9,0.36,0.04,1.7404661748405046,-3.079113882493042,21.0,87.0,0.9934,3.22,0.51,2.322387720290225,0
98,7.8,0.24,0.32,2.501435951739211,-2.9187712324178627,42.0,138.0,0.9984,3.01,0.54,2.174751721484161,0
99,7.4,0.16,0.31,1.9242486522741338,-2.8302178350764176,31.0,131.0,0.9952,3.29,0.34,2.272125885509337,0
100,6.9,0.19,0.28,1.6094379124341003,-2.8473122684357177,14.0,146.0,0.9952,3.29,0.36,2.2082744135228043,1
101,6.4,0.13,0.47,0.47000362924573563,-2.385966701933097,40.0,158.0,0.9928,3.21,0.36,2.2823823856765264,1
102,6.7,0.19,0.36,0.09531017980432493,-3.649658740960655,63.0,143.0,0.9912,3.27,0.48,2.3978952727983707,1
103,7.4,0.39,0.23,1.9459101490553132,-3.4112477175156566,29.0,126.0,0.994,3.14,0.42,2.3513752571634776,0
104,6.5,0.24,0.32,2.028148247292285,-3.270169119255751,48.0,203.0,0.9958,3.45,0.54,2.272125885509337,1
105,6.1,0.3,0.56,1.0296194171811581,-3.123565645063876,47.0,179.0,0.9924,3.3,0.57,2.388762789235098,1
106,6.1,0.3,0.56,0.9932517730102834,-3.079113882493042,46.0,184.0,0.9924,3.31,0.57,2.388762789235098,1
107,5.7,0.26,0.25,2.341805806147327,-3.912023005428146,7.0,57.0,0.994,3.39,0.37,2.3608540011180215,0
108,6.5,0.425,0.4,2.5726122302071057,-3.270169119255751,59.0,241.0,0.9979,3.23,0.57,2.1972245773362196,0
109,6.6,0.24,0.27,2.760009940032921,-3.3524072174927233,46.0,188.0,0.9982,3.24,0.51,2.2192034840549946,0
110,6.8,0.27,0.22,2.0918640616783932,-3.3813947543659757,55.0,203.0,0.9961,3.19,0.52,2.186051276738094,0
111,6.7,0.27,0.31,2.7536607123542622,-3.3242363405260273,44.0,179.0,0.9979,3.26,0.56,2.2617630984737906,0
112,8.2,0.23,0.4,0.1823215567939546,-3.611918412977808,36.0,121.0,0.992,3.12,0.38,2.3702437414678603,1
113,7.1,0.37,0.67,2.3513752571634776,-3.101092789211817,49.0,155.0,0.9975,3.16,0.44,2.163323025660538,0
114,6.8,0.19,0.36,0.6418538861723947,-3.3524072174927233,30.0,96.0,0.9917,3.15,0.54,2.379546134130174,1
115,6.3,0.31,0.34,0.7884573603642703,-3.101092789211817,20.0,77.0,0.9927,3.3,0.43,2.322387720290225,0
116,7.9,0.21,0.4,0.1823215567939546,-3.2441936328524905,38.0,107.0,0.992,3.21,0.54,2.379546134130174,1
117,8.5,0.21,0.41,1.4586150226995167,-3.3242363405260273,24.0,99.0,0.9947,3.18,0.53,2.272125885509337,1
118,8.1,0.2,0.4,0.6931471805599453,-3.2968373663379125,19.0,87.0,0.9921,3.12,0.54,2.4159137783010487,1
119,6.3,0.255,0.37,0.09531017980432493,-3.2188758248682006,37.0,114.0,0.9905,3.0,0.39,2.388762789235098,1
120,5.6,0.16,0.27,0.3364722366212129,-3.123565645063876,53.0,168.0,0.9918,3.28,0.37,2.312535423847214,1
121,6.4,0.595,0.14,1.6486586255873816,-2.8473122684357177,15.0,97.0,0.9951,3.38,0.36,2.1972245773362196,0
122,6.3,0.34,0.33,1.5260563034950492,-3.3813947543659757,19.0,80.0,0.9917,3.38,0.58,2.4849066497880004,1
123,6.9,0.25,0.3,1.410986973710262,-2.9187712324178627,23.0,116.0,0.994,2.99,0.38,2.2407096892759584,1
124,7.9,0.22,0.38,2.0794415416798357,-3.146555163288575,46.0,152.0,0.9934,3.12,0.32,2.4423470353692043,1
125,7.6,0.18,0.46,2.322387720290225,-2.900422093749666,58.0,135.0,0.9968,3.14,0.43,2.2925347571405443,1
126,7.2,0.18,0.41,0.1823215567939546,-3.036554268074246,41.0,97.0,0.9919,3.14,0.45,2.341805806147327,0
127,8.2,0.23,0.4,2.0149030205422647,-3.0159349808715104,12.0,76.0,0.9966,3.06,0.84,2.272125885509337,1
128,7.4,0.24,0.42,2.6390573296152584,-2.7181005369557116,48.0,198.0,0.9979,2.89,0.42,2.186051276738094,1
129,6.1,0.32,0.24,0.4054651081081644,-3.3242363405260273,38.0,124.0,0.9898,3.29,0.42,2.517696472610991,1
130,5.2,0.44,0.04,0.3364722366212129,-3.3242363405260273,43.0,119.0,0.9894,3.36,0.33,2.4932054526026954,1
131,6.4,0.22,0.56,2.6741486494265287,-2.900422093749666,27.0,159.0,0.998,2.98,0.4,2.2082744135228043,0
132,6.3,0.36,0.3,1.5686159179138452,-3.0159349808715104,14.0,85.0,0.9932,3.28,0.39,2.3608540011180215,0
133,6.7,0.24,0.35,2.5726122302071057,-2.995732273553991,64.0,205.0,0.997,3.15,0.5,2.2512917986064953,0
134,7.0,0.23,0.36,2.5649493574615367,-2.9759296462578115,72.0,177.0,0.9972,3.16,0.49,2.2823823856765264,0
135,8.4,0.27,0.46,2.163323025660538,-3.036554268074246,39.0,197.0,0.9974,3.14,0.59,2.2617630984737906,1
136,6.7,0.46,0.18,0.8754687373538999,-3.3813947543659757,25.0,98.0,0.9896,3.08,0.44,2.533696813957432,1
137,7.5,0.29,0.31,2.191653532286764,-2.900422093749666,20.0,151.0,0.9968,3.08,0.54,2.2300144001592104,0
138,9.8,0.42,0.48,2.2874714551839976,-3.3813947543659757,5.0,110.0,0.9958,2.87,0.29,2.302585092994046,0
139,7.1,0.3,0.46,0.4054651081081644,-2.7181005369557116,29.0,133.0,0.9906,3.12,0.54,2.5416019934645457,1
140,7.9,0.19,0.45,0.4054651081081644,-3.101092789211817,17.0,96.0,0.9917,3.13,0.39,2.3978952727983707,1
141,7.6,0.48,0.37,-0.2231435513142097,-3.2968373663379125,4.0,100.0,0.9902,3.03,0.39,2.4336133554004498,0
142,6.3,0.22,0.43,1.5151272329628591,-3.270169119255751,31.0,130.0,0.9918,3.35,0.33,2.4423470353692043,1
143,6.9,0.23,0.4,2.0149030205422647,-3.2188758248682006,50.0,151.0,0.9927,3.11,0.27,2.4336133554004498,1
144,7.2,0.32,0.47,1.62924053973028,-3.123565645063876,19.0,65.0,0.991,3.03,0.41,2.533696813957432,0
145,5.9,0.23,0.3,2.5572273113676265,-2.9187712324178627,57.0,170.0,0.9972,3.28,0.39,2.2407096892759584,0
146,6.0,0.67,0.07,0.1823215567939546,-2.8134107167600364,9.0,108.0,0.9931,3.11,0.35,2.163323025660538,0
147,6.4,0.25,0.32,1.7047480922384253,-3.0159349808715104,41.0,176.0,0.995,3.19,0.68,2.2192034840549946,1
148,6.4,0.33,0.31,1.7047480922384253,-3.036554268074246,42.0,173.0,0.9951,3.19,0.66,2.2300144001592104,1
149,7.1,0.34,0.15,0.1823215567939546,-2.9374633654300153,61.0,183.0,0.9936,3.09,0.43,2.2192034840549946,0
150,6.8,0.28,0.4,3.091042453358316,-3.036554268074246,48.0,167.0,1.001,2.93,0.5,2.163323025660538,0
151,6.9,0.27,0.4,2.6390573296152584,-2.995732273553991,64.0,227.0,0.9979,3.18,0.58,2.2617630984737906,1
152,6.8,0.26,0.56,2.4765384001174837,-3.146555163288575,64.0,226.0,0.997,3.02,0.63,2.2300144001592104,0
153,6.8,0.29,0.56,2.4765384001174837,-3.146555163288575,66.0,230.0,0.9972,3.02,0.63,2.2300144001592104,0
154,6.7,0.24,0.41,2.2407096892759584,-3.2188758248682006,49.0,166.0,0.9954,3.12,0.61,2.2925347571405443,1
155,5.9,0.3,0.23,1.4350845252893227,-3.270169119255751,42.0,119.0,0.9924,3.15,0.5,2.3978952727983707,0
156,6.8,0.53,0.35,1.33500106673234,-3.3813947543659757,26.0,109.0,0.9906,3.26,0.57,2.5416019934645457,1
157,6.5,0.28,0.28,2.1400661634962708,-3.0576076772720784,54.0,210.0,0.9962,3.09,0.54,2.186051276738094,0
158,6.6,0.28,0.28,2.1400661634962708,-2.9565115604007097,55.0,211.0,0.9962,3.09,0.55,2.186051276738094,1
159,6.8,0.28,0.36,2.0794415416798357,-3.101092789211817,28.0,123.0,0.9928,3.02,0.37,2.4336133554004498,1
160,6.6,0.15,0.34,1.62924053973028,-2.900422093749666,34.0,125.0,0.9942,3.36,0.42,2.2617630984737906,0
161,6.4,0.29,0.44,1.2809338454620642,-1.6094379124341003,75.0,181.0,0.9942,3.02,0.41,2.2082744135228043,0
162,6.4,0.3,0.45,1.252762968495368,-1.6245515502441485,76.0,180.0,0.9942,3.02,0.39,2.2082744135228043,1
163,6.4,0.29,0.44,1.2809338454620642,-1.6245515502441485,75.0,183.0,0.9942,3.01,0.38,2.2082744135228043,0
164,6.8,0.26,0.24,2.0541237336955462,-2.9565115604007097,54.0,214.0,0.9961,3.13,0.47,2.186051276738094,0
165,7.1,0.32,0.24,2.5726122302071057,-2.995732273553991,52.0,204.0,0.998,3.1,0.49,2.174751721484161,0
166,6.8,0.27,0.26,2.7788192719904172,-3.0159349808715104,55.0,196.0,0.9984,3.15,0.5,2.2300144001592104,0
167,6.9,0.54,0.32,2.580216829592325,-2.995732273553991,53.0,236.0,0.9973,3.2,0.5,2.2617630984737906,0
168,6.8,0.26,0.34,2.631888840136646,-3.3813947543659757,39.0,134.0,0.9949,3.33,0.53,2.4849066497880004,1
169,5.8,0.28,0.35,0.8329091229351039,-2.9374633654300153,36.0,114.0,0.9924,3.28,0.5,2.322387720290225,0
170,6.4,0.21,0.5,2.451005098112319,-3.170085660698769,45.0,153.0,0.9972,3.15,0.43,2.174751721484161,0
171,7.0,0.16,0.32,2.1162555148025524,-3.101092789211817,38.0,126.0,0.9958,3.21,0.34,2.2192034840549946,0
172,10.2,0.44,0.88,1.824549292051046,-3.0159349808715104,20.0,124.0,0.9968,2.99,0.51,2.2925347571405443,0
173,6.8,0.57,0.29,0.7884573603642703,-3.2188758248682006,15.0,77.0,0.9938,3.32,0.74,2.322387720290225,0
174,6.1,0.4,0.31,-0.10536051565782628,-3.036554268074246,23.0,170.0,0.993,3.22,0.77,2.2512917986064953,1
175,5.6,0.245,0.25,2.272125885509337,-3.4420193761824103,12.0,68.0,0.994,3.31,0.34,2.3513752571634776,0
176,6.8,0.18,0.38,0.3364722366212129,-3.270169119255751,35.0,111.0,0.9918,3.32,0.59,2.4159137783010487,1
177,6.7,0.13,0.29,1.667706820558076,-2.9759296462578115,31.0,122.0,0.9944,3.44,0.37,2.272125885509337,1
178,6.2,0.25,0.25,0.3364722366212129,-3.506557897319982,35.0,105.0,0.9912,3.3,0.44,2.4069451083182885,1
179,5.8,0.26,0.24,2.2192034840549946,-3.123565645063876,55.0,152.0,0.9961,3.31,0.38,2.2407096892759584,0
180,7.5,0.27,0.36,1.9459101490553132,-3.3242363405260273,45.0,164.0,0.9939,3.03,0.33,2.3978952727983707,0
181,5.7,0.28,0.24,2.8622008809294686,-3.123565645063876,60.0,167.0,0.9989,3.31,0.44,2.2407096892759584,0
182,7.5,0.23,0.36,1.9459101490553132,-3.3242363405260273,43.0,161.0,0.9938,3.04,0.32,2.3978952727983707,0
183,7.2,0.685,0.21,2.2512917986064953,-2.659260036932778,33.0,172.0,0.9971,3.0,0.55,2.2082744135228043,1
184,6.5,0.19,0.3,-0.2231435513142097,-3.146555163288575,33.0,144.0,0.9936,3.42,0.39,2.2082744135228043,1
185,7.1,0.24,0.41,2.8791984572980396,-3.079113882493042,39.0,145.0,0.9998,3.32,0.39,2.163323025660538,0
186,6.4,0.17,0.32,0.8754687373538999,-3.036554268074246,41.0,200.0,0.9938,3.5,0.5,2.272125885509337,1
188,6.8,0.64,0.08,2.272125885509337,-2.7806208939370456,26.0,142.0,0.9972,3.37,0.46,2.186051276738094,0
189,8.3,0.28,0.4,2.0541237336955462,-3.1941832122778293,38.0,194.0,0.9976,3.34,0.51,2.2617630984737906,1
190,8.2,0.27,0.39,2.0541237336955462,-3.2441936328524905,49.0,208.0,0.9976,3.31,0.51,2.2512917986064953,1
191,7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,55.0,194.0,0.9979,3.09,0.44,2.1972245773362196,1
192,6.8,0.52,0.32,2.580216829592325,-3.123565645063876,54.0,221.0,0.9972,3.27,0.5,2.2617630984737906,1
193,7.0,0.26,0.59,0.3364722366212129,-3.2968373663379125,40.0,120.0,0.9918,3.34,0.41,2.4069451083182885,1
194,6.2,0.25,0.21,2.744060638625243,-3.2441936328524905,28.0,159.0,0.9982,3.48,0.64,2.2617630984737906,1
195,7.3,0.32,0.23,2.617395832834079,-2.995732273553991,49.0,197.0,0.9985,3.2,0.46,2.163323025660538,0
196,7.7,0.31,0.26,2.0541237336955462,-3.473768074496991,23.0,90.0,0.9944,3.13,0.5,2.341805806147327,0
197,7.1,0.21,0.37,0.8754687373538999,-3.649658740960655,23.0,100.0,0.9903,3.15,0.38,2.4336133554004498,1
198,6.8,0.24,0.34,0.9932517730102834,-3.0576076772720784,64.5,218.5,0.9934,3.3,0.58,2.272125885509337,1
199,6.9,0.4,0.56,2.4159137783010487,-3.146555163288575,40.0,142.0,0.9975,3.14,0.46,2.163323025660538,0
200,6.1,0.18,0.36,0.6931471805599453,-3.270169119255751,20.0,249.5,0.9923,3.37,0.79,2.424802725718295,1
201,6.8,0.21,0.27,0.7419373447293773,-3.506557897319982,26.0,139.0,0.99,3.16,0.61,2.533696813957432,1
202,5.8,0.2,0.27,0.3364722366212129,-3.473768074496991,12.0,77.0,0.9905,3.25,0.36,2.388762789235098,1
203,5.6,0.19,0.26,0.3364722366212129,-3.506557897319982,12.0,76.0,0.9905,3.25,0.37,2.388762789235098,1
204,5.9,0.21,0.28,1.5260563034950492,-2.9374633654300153,40.0,199.0,0.9964,3.72,0.7,2.302585092994046,0
205,8.5,0.26,0.21,2.785011242238338,-2.6036901857779675,41.0,197.0,0.998,3.02,0.5,2.2823823856765264,0
206,5.8,0.24,0.44,1.252762968495368,-3.540459448995663,5.0,109.0,0.9913,3.53,0.43,2.4595888418037104,0
207,5.8,0.24,0.39,0.4054651081081644,-2.9187712324178627,37.0,158.0,0.9932,3.21,0.52,2.2300144001592104,1
208,6.7,0.26,0.39,0.09531017980432493,-3.2188758248682006,45.0,147.0,0.9935,3.32,0.58,2.2617630984737906,1
209,6.3,0.35,0.3,1.7404661748405046,-3.3524072174927233,8.0,97.0,0.9927,3.27,0.41,2.3978952727983707,1
210,6.4,0.23,0.39,0.5877866649021191,-3.4420193761824103,23.0,118.0,0.9912,3.32,0.5,2.468099531471619,1
211,5.8,0.36,0.38,-0.10536051565782628,-3.2968373663379125,3.0,75.0,0.9904,3.28,0.34,2.4336133554004498,0
212,6.9,0.115,0.35,1.6863989535702288,-3.036554268074246,36.0,108.0,0.9939,3.32,0.42,2.322387720290225,1
213,6.9,0.29,0.4,2.9678470700644555,-3.146555163288575,36.0,156.0,0.9996,2.93,0.47,2.186051276738094,0
214,6.9,0.28,0.4,2.1041341542702074,-3.3242363405260273,15.0,95.0,0.9944,3.17,0.33,2.322387720290225,0
215,7.2,0.29,0.4,2.6100697927420065,-3.101092789211817,66.0,231.0,0.9977,3.08,0.59,2.2617630984737906,1
216,6.2,0.24,0.35,0.1823215567939546,-3.270169119255751,22.0,167.0,0.9912,3.1,0.48,2.3608540011180215,1
217,6.9,0.32,0.26,2.1162555148025524,-2.9374633654300153,32.0,180.0,0.9965,3.25,0.51,2.2192034840549946,1
